harmonico,amplitude,angulo
30.001667,100,0
30.003333,100,0
30.005,100,0
30.006667,100,0
30.008333,100,0
30.01,100,0
30.011667,100,0
30.013333,100,0
30.015,100,0
30.016667,100,0
30.018333,100,0
30.02,100,0
30.021667,100,0
30.023333,100,0
30.025,100,0
30.026667,100,0
30.028333,100,0
30.03,100,0
30.031667,100,0
30.033333,100,0
30.035,100,0
30.036667,100,0
30.038333,100,0
30.04,100,0
30.041667,100,0
30.043333,100,0
30.045,100,0
30.046667,100,0
30.048333,100,0
30.05,100,0
30.051667,100,0
30.053333,100,0
30.055,100,0
30.056667,100,0
30.058333,100,0
30.06,100,0
30.061667,100,0
30.063333,100,0
30.065,100,0
30.066667,100,0
30.068333,100,0
30.07,100,0
30.071667,100,0
30.073333,100,0
30.075,100,0
30.076667,100,0
30.078333,100,0
30.08,100,0
30.081667,100,0
30.083333,100,0
30.085,100,0
30.086667,100,0
30.088333,100,0
30.09,100,0
30.091667,100,0
30.093333,100,0
30.095,100,0
30.096667,100,0
30.098333,100,0
30.1,100,0
30.101667,100,0
30.103333,100,0
30.105,100,0
30.106667,100,0
30.108333,100,0
30.11,100,0
30.111667,100,0
30.113333,100,0
30.115,100,0
30.116667,100,0
30.118333,100,0
30.12,100,0
30.121667,100,0
30.123333,100,0
30.125,100,0
30.126667,100,0
30.128333,100,0
30.13,100,0
30.131667,100,0
30.133333,100,0
30.135,100,0
30.136667,100,0
30.138333,100,0
30.14,100,0
30.141667,100,0
30.143333,100,0
30.145,100,0
30.146667,100,0
30.148333,100,0
30.15,100,0
30.151667,100,0
30.153333,100,0
30.155,100,0
30.156667,100,0
30.158333,100,0
30.16,100,0
30.161667,100,0
30.163333,100,0
30.165,100,0
30.166667,100,0
30.168333,100,0
30.17,100,0
30.171667,100,0
30.173333,100,0
30.175,100,0
30.176667,100,0
30.178333,100,0
30.18,100,0
30.181667,100,0
30.183333,100,0
30.185,100,0
30.186667,100,0
30.188333,100,0
30.19,100,0
30.191667,100,0
30.193333,100,0
30.195,100,0
30.196667,100,0
30.198333,100,0
30.2,100,0
30.201667,100,0
30.203333,100,0
30.205,100,0
30.206667,100,0
30.208333,100,0
30.21,100,0
30.211667,100,0
30.213333,100,0
30.215,100,0
30.216667,100,0
30.218333,100,0
30.22,100,0
30.221667,100,0
30.223333,100,0
30.225,100,0
30.226667,100,0
30.228333,100,0
30.23,100,0
30.231667,100,0
30.233333,100,0
30.235,100,0
30.236667,100,0
30.238333,100,0
30.24,100,0
30.241667,100,0
30.243333,100,0
30.245,100,0
30.246667,100,0
30.248333,100,0
30.25,100,0
30.251667,100,0
30.253333,100,0
30.255,100,0
30.256667,100,0
30.258333,100,0
30.26,100,0
30.261667,100,0
30.263333,100,0
30.265,100,0
30.266667,100,0
30.268333,100,0
